# Number of cells = 1600
# CFL = 8.000000e-01
# a = 1.000000e+00
# L1 error = 2.629423e-03
# Root mean square error = 5.228718e-03
# Wall time = 4.149100e-02 seconds

VARIABLES = "x" "Numerical_solution" "Exact_solution" "Error"
ZONE I=1600, F=POINT
2.143750e-01 3.257224e-01 3.180429e-01 7.679415e-03
2.150000e-01 3.309873e-01 3.233868e-01 7.600525e-03
2.156250e-01 3.362978e-01 3.287802e-01 7.517588e-03
2.162500e-01 3.416534e-01 3.342229e-01 7.430579e-03
2.168750e-01 3.470536e-01 3.397141e-01 7.339473e-03
2.175000e-01 3.524977e-01 3.452534e-01 7.244249e-03
2.181250e-01 3.579851e-01 3.508402e-01 7.144887e-03
2.187500e-01 3.635153e-01 3.564739e-01 7.041368e-03
2.193750e-01 3.690876e-01 3.621539e-01 6.933679e-03
2.200000e-01 3.747012e-01 3.678794e-01 6.821805e-03
2.206250e-01 3.803556e-01 3.736499e-01 6.705735e-03
2.212500e-01 3.860500e-01 3.794645e-01 6.585462e-03
2.218750e-01 3.917836e-01 3.853226e-01 6.460980e-03
2.225000e-01 3.975557e-01 3.912234e-01 6.332283e-03
2.231250e-01 4.033654e-01 3.971660e-01 6.199373e-03
2.237500e-01 4.092120e-01 4.031497e-01 6.062249e-03
2.243750e-01 4.150945e-01 4.091736e-01 5.920916e-03
2.250000e-01 4.210122e-01 4.152368e-01 5.775380e-03
2.256250e-01 4.269641e-01 4.213385e-01 5.625651e-03
2.262500e-01 4.329493e-01 4.274775e-01 5.471741e-03
2.268750e-01 4.389668e-01 4.336532e-01 5.313664e-03
2.275000e-01 4.450157e-01 4.398643e-01 5.151437e-03
2.281250e-01 4.510950e-01 4.461099e-01 4.985080e-03
2.287500e-01 4.572036e-01 4.523890e-01 4.814617e-03
2.293750e-01 4.633405e-01 4.587004e-01 4.640072e-03
2.300000e-01 4.695047e-01 4.650432e-01 4.461474e-03
2.306250e-01 4.756949e-01 4.714161e-01 4.278855e-03
2.312500e-01 4.819102e-01 4.778180e-01 4.092248e-03
2.318750e-01 4.881494e-01 4.842477e-01 3.901690e-03
2.325000e-01 4.944113e-01 4.907041e-01 3.707222e-03
2.331250e-01 5.006947e-01 4.971858e-01 3.508885e-03
2.337500e-01 5.069984e-01 5.036916e-01 3.306726e-03
2.343750e-01 5.133211e-01 5.102203e-01 3.100792e-03
2.350000e-01 5.196617e-01 5.167706e-01 2.891136e-03
2.356250e-01 5.260188e-01 5.233410e-01 2.677811e-03
2.362500e-01 5.323912e-01 5.299303e-01 2.460875e-03
2.368750e-01 5.387775e-01 5.365371e-01 2.240387e-03
2.375000e-01 5.451763e-01 5.431599e-01 2.016410e-03
2.381250e-01 5.515863e-01 5.497973e-01 1.789011e-03
2.387500e-01 5.580062e-01 5.564480e-01 1.558257e-03
2.393750e-01 5.644345e-01 5.631103e-01 1.324221e-03
2.400000e-01 5.708698e-01 5.697828e-01 1.086976e-03
2.406250e-01 5.773107e-01 5.764641e-01 8.466000e-04
2.412500e-01 5.837556e-01 5.831524e-01 6.031720e-04
2.418750e-01 5.902032e-01 5.898464e-01 3.567751e-04
2.425000e-01 5.966519e-01 5.965444e-01 1.074944e-04
2.431250e-01 6.031003e-01 6.032448e-01 -1.445820e-04
2.437500e-01 6.095467e-01 6.099461e-01 -3.993635e-04
2.443750e-01 6.159897e-01 6.166464e-01 -6.567568e-04
2.450000e-01 6.224276e-01 6.233443e-01 -9.166661e-04
2.456250e-01 6.288590e-01 6.300380e-01 -1.178993e-03
2.462500e-01 6.352823e-01 6.367259e-01 -1.443636e-03
2.468750e-01 6.416957e-01 6.434062e-01 -1.710493e-03
2.475000e-01 6.480978e-01 6.500773e-01 -1.979457e-03
2.481250e-01 6.544869e-01 6.567373e-01 -2.250421e-03
2.487500e-01 6.608613e-01 6.633846e-01 -2.523274e-03
2.493750e-01 6.672195e-01 6.700174e-01 -2.797903e-03
2.500000e-01 6.735597e-01 6.766338e-01 -3.074194e-03
2.506250e-01 6.798802e-01 6.832323e-01 -3.352030e-03
2.512500e-01 6.861795e-01 6.898108e-01 -3.631291e-03
2.518750e-01 6.924559e-01 6.963677e-01 -3.911857e-03
2.525000e-01 6.987075e-01 7.029011e-01 -4.193605e-03
2.531250e-01 7.049328e-01 7.094092e-01 -4.476411e-03
2.537500e-01 7.111300e-01 7.158902e-01 -4.760146e-03
2.543750e-01 7.172975e-01 7.223422e-01 -5.044685e-03
2.550000e-01 7.234334e-01 7.287633e-01 -5.329896e-03
2.556250e-01 7.295362e-01 7.351518e-01 -5.615648e-03
2.562500e-01 7.356040e-01 7.415058e-01 -5.901809e-03
2.568750e-01 7.416352e-01 7.478234e-01 -6.188244e-03
2.575000e-01 7.476280e-01 7.541028e-01 -6.474818e-03
